book,author,year,publisher
"Color Me Beautiful Discover Your Natural","Carole Jackson","1981","Ballantine Books"
"Briar Rose","Jane Yolen","1993","Tor Books"
"Two Brothers","Linda Lael Miller","2000","Pocket"
"Smoke and Mirrors","Jane Lindskold","1996","Harper Mass Market Paperbacks (Mm)"
"Historia Universal De LA Infamia/a Universal History of Infamy","Jorge Luis Borges","1983","Lectorum Pubns (Adult)"
"The Great Mom Swap","Betsy Haynes","1994","Skylark Books"
"The Bridges of Madison County","Robert James Waller","1992","Warner Books"
"Raising the Stones","Sheri S. Tepper","1991","Spectra Books"
"Taft","Ann Patchett","1999","Ballantine Books"
"Mousetrap and Other Plays","Agatha Christie","1981","Bantam Doubleday Dell"
"Monkeewrench","P. J. Tracy","2004","Brilliance Audio"
"Onion John","Joseph Krumgold","0","Scholastic Inc"
"Criminal Intent","Sheldon Siegel","2002","Putnam Publishing Group"
"Kissing the Gunner\'s Daughter","Ruth Rendell","1992","Warner Books Inc"
"Pop Goes the Weasel","James Patterson","1999","Time Warner Audio Major"
"Some Girls Do","Leanne Banks","2003","Warner Forever"
"Sea Gypsy","Fern Michaels","2000","Mira"
"Searching for Caleb","Anne Tyler","1993","Ivy Books"
"The Collected Stories of Isaac Bashevis Singer","Isaac Bashevis Singer","1982","Farrar Straus Giroux"
"Restoree","Anne McCaffrey","1990","Del Rey Books"
"Aphrodite: A Memoir of the Senses","Isabel Allende","1999","Perennial"
"The Fallon Blood","Reagan O\'Neal","1995","St Martins Pr"
"Trojan Gold","Elizabeth Peters","1988","Tor Books"
"Must Love Dogs","Claire Cook","2003","Onyx Books"
"The Water Nymph","Michele Jaffe","2000","Atria"
"Ivanhoe","Walter, Sir Scott","2000","Sagebrush Bound"
"Mail Order Bride","Mark Kalesniko","2003","Fantagraphics Books"
"Selected Poems of Emily Dickinson","Emily Dickinson","1995","Tor Books"
"The House of Mirth","Edith Wharton","1981","Berkley Publishing Group"
"Perfect Timing","Tess Gerritsen","2001","Harlequin"
"Time Travelers Strictly Cash","Spider Robinson","1981","Penguin Putnam~mass"
"Wild Star","Catherine Coulter","2002","Signet Book"
"To Catch a Cat","Marian Babson","2002","St. Martin\'s Minotaur"
"The Berkut","Joseph Heywood","1987","Random House Inc"
"In God We Trust: All Others Pay Cash","Jean Shepherd","1991","Main Street Books"
"Not a Creature Was Stirring","Jane Haddam","1990","Bantam Books"
"The Sims: Hot Date: Prima\'s Official Strategy Guide","David Chong","2001","Prima Lifestyles"
"Honor\'s Splendour","Julie Garwood","1991","Pocket"
"Bride\'s Kimono, The","Sujata Massey","2002","Avon"
"Quincunx","Charles Palliser","1992","Random House Value Pub"
"Maximum Light","Nancy Kress","1999","Tor Books"
"Cinnamon Skin","John D. MacDonald","1983","Fawcett Books"
"Girls of the Summer","Barbara Bretton","2003","Berkley Publishing Group"
"Nobody\'s Fault","Nancy Holmes","1991","Bantam Books"
"A Thin Dark Line","Tami Hoag","1997","Bantam"
"Einstein\'s Bridge","John Cramer","1998","Eos"
"Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right","Al Franken","2003","Highbridge Audio"
"Rebel: The Life and Legend of James Dean","Donald Spoto","1997","Harper Mass Market Paperbacks (Mm)"
"Whiskey Island","Emilie Richards","2000","Mira"
"Der Geliebte der Mutter: Roman","Urs Widmer","2000","Diogenes"
"His Bright Light: The Story of Nick Traina","Danielle Steel","1999","Dell Publishing Company"
"Eye of the Needle","Ken Follett","2004","Brilliance Audio"
"Waltzing the Cat","Pam Houston","1999","Washington Square Press"
"Late Night Thoughts on Listening to Mahler\'s Ninth Symphony","Lewis Thomas","1983","Penguin USA"
"Village by the Sea","Paula Fox","1990","Dell Publishing Company"
"The Last of the Savages","Jay McInerney","1996","Random House Inc"
"Sphere of Influence","Kyle Mills","2003","Signet Book"
"Onion John","Joseph Krumgold","1987","HarperCollins"
"The Dark Half","Stephen King","1992","Viking Books"
"Lightkeeper","Susan Wiggs","2002","Mira Books"
"A Memory of Love","Bertrice Small","2002","Ivy Books"
"A Hummingbird in My House: The Story of Squeak","Arnette Heidcamp","1991","Crown Publishers"
"Christmas Treats","Lindsay Armstrong","1998","Harlequin"
"SPAM: A Biography: The Amazing True Story of America\'s ""Miracle Meat!""","Carolyn Wyman","1999","Harvest Books"
"Abandoned Prayers: The Shocking True Story of Obsession, Murder and ""Little Boy Blue""","Gregg Olsen","1990","Warner Books (Mm)"
"Scruples Two","Judith Krantz","1993","Bantam Books"
"Sons and Lovers","D. H. Lawrence","2003","Barnes &amp; Noble Books-Imports"
"Lucas: A Story of Love and Hate","Kevin Brooks","2003","Chicken House"
"Roman Blood","Steven Saylor","1992","Fawcett Books"
"Waking the Dead","Scott Spencer","1986","Random House Inc"
"Houses of Stone","Barbara Michaels","1996","Berkley Publishing Group"
"The Republic of Dreams: A Reverie","G. Garfield Crimmins","1998","W. W. Norton &amp; Company"
"One Rainy Night","Richard Laymon","2000","Leisure Books"
"The Return of Merlin","Deepak Chopra","1995","Random House Inc"
"Veil: The Secret Wars of the CIA 1981-1987","Bob Woodward","1987","Smithmark Pub"
"Not Between Brothers","David Marion Wilkinson","1999","Signet Book"
"Blue Champagne","John Varley","1988","Ace Books"
"Horses Make a Landscape Look More Beautiful","Alice Walker","1986","Harvest Books"
"Ring of Truth","Nancy Pickard","2002","Pocket"
"Exit Strategies","Catherine Todd","2002","HarperTorch"
"Do Penguins Have Knees?","David Feldman","1992","Perennial"
"Fires of Spring -3","Michener A.","1982","Not Avail"
"Dangerous Games","Amanda Scott","1996","Pinnacle Books"
"Satellite Sisters\' Uncommon Senses","Julie Dolan","2002","Riverhead Books"
"North of Montana","April Smith","1996","Fawcett Books"
"Schrodinger\'s Kittens and the Search for Reality","John Gribbin","1995","Little Brown &amp; Co"
"Happy Are the Oppressed","Andrew M. Greeley","1996","Jove Books"
"When My Sister Was Cleopatra Moon","Frances Park","2000","Miramax"
"Thoroughly Kissed","Kristine Grayson","2001","Zebra Books"
"The Heir Hunter","Chris Larsgaard","2001","Dell Publishing Company"
"White Rabbit","Kate Phillips","1997","Perennial"
"Moonlight on the Avenue of Faith","Gina B. Nahai","1999","Harcourt"
"Father Melancholy\'s Daughter","Gail Godwin","1991","Harpercollins"
"How to Cook a Tart","Nina Killham","2003","Bloomsbury USA"
"Hotel of the Saints","Ursula Hegi","2001","Simon &amp; Schuster"
"Les Belles-Soeurs","Michel Tremblay","1993","Talonbooks, Ltd."
"The Rebel Angels","Robertson Davies","1989","Penguin Books Ltd"
"Wittgenstein\'s Poker: The Story of a Ten-Minute Argument Between Two Great Philosophers","David Edmonds","2001","Farrar Straus &amp; Giroux"
"The God File","Frank Turner Hollon","2002","MacAdam/Cage Publishing"
"The Other Woman","Jill McGown","1994","Fawcett Books"
"Right Ho, Jeeves","P. G. Wodehouse","2000","Penguin Books"
"The Lord of the Rings Official Movie Guide","Brian Sibley","2001","Houghton Mifflin Company"
"This House of Sky: Landscapes of a Western Mind","Ivan Doig","1980","Harvest Books"
"A Secret Affair","Barbara Taylor Bradford","1997","HarperTorch"
"The Crimson Petal and the White","Michel Faber","2003","Harvest Books"
"Kissing in Manhattan","David Schickler","2001","Dial Press"
"Pippi in the South Seas","Astrid Lindgren","1988","Penguin USA"
"The Trouble With Mary","Millie Criswell","2001","Ivy Books"
"Virgin Earth","Philippa Gregory","1999","St Martins Pr"
"Flaming Arrow","Cassie Edwards","1997","Signet Book"
"The Cat Lover\'s Book of Fascinating Facts: A Felicitous Look at Felines","Ed Lucaire","1997","Gramercy Books"
"When God Whispers Your Name","Max Lucado","1999","W Publishing Group"
"What a Girl Wants","Liz Maverick","2004","New American Library"
"Cat Spells: Cat Magic Through the Ages","Claire Nahmad","1999","Gramercy Books"
"Busman\'s Honeymoon","Dorothy L. Sayers","1995","HarperTorch"
"Mere Christianity","C. S. Lewis","1952","MacMillan Publishing Company."
"Jo\'s Boys","Louisa May Alcott","1995","Bantam"
"The Second Deadly Sin","Lawrence Sanders","1977","Putnam Publishing Group"
"Escape the Night","Richard North Patterson","1995","Ballantine Books"
"Of Marriageable Age","Sharon Maas","2000","Harper Collins - UK"
"Fear and Loathing: On the Campaign Trail","Dr. Hunter S. Thompson","1985","Warner Books"
"State of the Art","Ian Banks","0","Firebird Distributing"
"The Day Before Midnight","Stephen Hunter","1993","Bantam Books"
"Now and Forever","Danielle Steel","1978","Dell"
"The Sunbird","Wilbur Smith","2002","St. Martin\'s Paperbacks"
"The Memoirs of Elizabeth Frankenstein","Theodore Roszak","1996","Bantam"
"The Avengers: Too Many Targets","John Peel","1998","Tor Books (Mm)"
"Molly Ivins Can\'t Say That, Can She?","Molly Ivins","1992","Vintage Books USA"
"War and Remembrance","Herman Wouk","2002","Back Bay Books"
"My Lady Pirate","Elizabeth Doyle","2001","Zebra Books"
"The Complete Idiot\'s Guide to Understanding Buddhism","Gary Gach","2001","Alpha Books"
"Night Chills","Dean R. Koontz","1996","Berkley Publishing Group"
"Gracelin O\'Malley","Ann Moore","2001","New American Library"
"Silent Spring","Rachel Carson","1985","Fawcett Books"
"One Last Little Peek, 1980-1995: The Final Strips, the Special Hits, the Inside Tips","Berke Breathed","1995","Little Brown &amp; Co"
"The Caveman\'s Valentine","George Dawes Green","1994","Warner Books Inc"
"Shadow\'s End","Sheri S. Tepper","1995","Sunset Productions"
"Gaudy Night","Dorothy L. Sayers","1986","HarperCollins Publishers"
"Redeeming Love","Francine Rivers","2001","Multnomah"
"Naughty, Naughty","Susan Johnson","1999","St. Martin\'s Press"
"Thieves in High Places: They\'ve Stolen Our Country--And It\'s Time to Take It Back","Jim Hightower","2003","Viking Books"
"Wolf\'s Hour","Robert McCammon","1990","Pocket"
"Mirabilis","Susann Cokal","2002","Blue Hen Books"
"Dead Men Do Tell Tales: The Strange and Fascinating Cases of a Forensic Anthropologist","William Maples","1995","Main Street Books"
"What\'s So Great About America","Dinesh D\'Souza","2002","Regnery Publishing"
"Suspicion of Betrayal","Barbara Parker","1999","Dutton Books"
"By the Sea","Abdulrazak Gurnah","2002","Bloomsbury Publishing Plc"
"Hammerheads","Dale Brown","1995","Berkley Publishing Group"
"The Salterton Trilogy","Robertson Davies","1991","Penguin Books"
"The Virgin Blue","Tracy Chevalier","2003","Plume Books"
"Dominion","Melanie Jackson","2002","Love Spell"
"A Dog Called Demolition","Robert Rankin","1996","Acacia Press, Inc."
"Pen Pals","Olivia Goldsmith","2002","Dutton Books"
"Day of Reckoning","Jack Higgins","2000","Putnam Publishing Group"
"The Hemingway Book Club of Kosovo","Paula Huntley","2003","Jeremy P. Tarcher"
"Love Beyond Reason","Sandra Brown","1994","Warner Books"
"Murder Book","Richard Rayner","1999","HarperTorch"
"Lust for Life","Irving Stone","1989","Plume Books"
"Eye of the Needle","Ken Follett","1989","Signet Book"
"Dear Bruce Springsteen","Kevin Major","1990","Laurel-Leaf Books"
"Wisdom of the Bones","Christopher Hyde","2003","Onyx Books"
"Hidden Riches","Nora Roberts","2004","Berkley Publishing Group"
"Harry Potter, You\'re the Best: A Tribute from Fans the World over","Sharon Moore","2001","St. Martin\'s Press"
"Superstitious","R. L. Stine","1996","Warner Books"
"Trick of the Eye","Jane Stanton Hitchcock","2003","Miramax"
"Der Sturm des Jahrhunderts.","Stephen King","1999","Heyne"
"Of Human Bondage","W. Somerset Maugham","1955","Amereon Limited"
"Comici Spaventati Guerrieri","Stefano Benni","0","Feltrinelli"
"The Large, the Small and the Human Mind","Roger Penrose","1997","Cambridge University Press"
"Windtalkers","Max A. Collins","2001","HarperEntertainment"
"Sis Boom Bah","Jane Heller","1999","St. Martin\'s Press"
"She\'s Gonna Blow!: Real Help for Moms Dealing With Anger","Julie Ann Barnhill","2001","Harvest House Publishers"
"The Beet Queen","Louise Erdrich","1989","Bantam Books"
"The Book of Night with Moon","Diane Duane","1997","Warner Books"
"Ode to a Banker","Lindsey Davis","2001","Mysterious Press"
"Fair and Tender Ladies","Lee Smith","1989","Ballantine Books"
"The Best Laid Plans","Sidney Sheldon","1998","Warner Books"
"The People\'s Choice","Jeff Greenfield","1996","Plume Books"
"Polaroids from the Dead","Douglas Coupland","1997","Regan Books"
"Midnight Days","Neil Gaiman","2000","DC Comics"
"The Fountainhead","Ayn Rand","1979","MacMillan Publishing Company."
"The Dewey Decimal System of Love","Josephine Carr","2003","New American Library"
"Bones: A Forensic Detective\'s Casebook","Douglas H. Ubelaker","1992","Harpercollins"
"Undercurrents","Stella Cameron","1999","Mira"
"The Delany Sisters\' Book of Everyday Wisdom","Sarah Louise Delany","1994","Kodansha America"
"Dinosaurs: A Celebration","Dan Abnett","1992","Client Distribution Services"
"10 Commandments Of Dating","Ben Young","1999","Nelson Reference"
"Hype and Glory","William Goldman","1990","Random House Inc"
"Smart Vs. Pretty","Valerie Frankel","2001","Avon"
"The Catswold Portal","Shirley Rousseau Murphy","1999","Bt Bound"
"The Cajun Cowboy","Sandra Hill","2004","Warner Forever"
"Go Tell It on the Mountain","James Baldwin","2000","Delta"
"The Borrowers Avenged","Mary Norton","2003","Odyssey Classics"
"Princess: A True Story of Life Behind the Veil in Saudi Arabia","Jean Sasson","2001","Windsor-Brooke Books"
"The Ice House","Minette Walters","1994","St. Martin\'s Press"
"Why Your Life Sucks:  And What You Can Do About It","Alan H. Cohen","2002","Jodere Group"
"The Cat Who Tailed a Thief","Lilian Jackson Braun","1998","Jove Books"
"The Well-Trained Mind: A Guide to Classical Education at Home","Jessie Wise","1999","W.W. Norton &amp; Company"
"Puerto Vallarta Squeeze","Robert James Waller","1995","Warner Books"
"Lucifer\'s Hammer","Larry Niven","1998","Del Rey Books"
"Listening Woman","Tony Hillerman","1979","Harpercollins Juvenile Books"
"Gramercy Park","Paula Cohen","2002","St. Martin\'s Press"
"The Secret Language of Eating Disorders: The Revolutionary New Approach to Curing Anorexia and Bulimia","Peggy Claude-Pierre","1997","Random House Value Pub"
"Ship of Gold in the Deep Blue Sea","Gary Kinder","1999","Vintage Books USA"
"Mules and Men","Zora Neale Hurston","1990","Perennial"
"Breathing Lessons","Anne Tyler","1994","Berkley Publishing Group"
"Read to Your Bunny","Rosemary Wells","1999","Scholastic"
"Rules II: More Rules to Live and Love By","Ellen Fein","1998","Warner Books"
"Ann Margret: My Story","Ann Margret","1994","Putnam Pub Group"
"The Secret Garden","Frances H. Burnett","1990","Yearling Books"
"Dirty White Boys","Stephen Hunter","1995","Island"
"The Alphabet Versus the Goddess: The Conflict Between Word and Image","Leonard Shlain","1999","Penguin Books"
"Uncle Tom\'s Cabin","H. B. Stowe","1999","Lb May &amp; Assoc Inc"
"The Complete Prophecies of Nostradamus","Nostradamus","1982","Random House Inc"
"First Book of Swords","Fred Saberhagen","1984","St Martins Press"
"Princess: A True Story of Life Behind the Veil in Saudi Arabia","Jean Sasson","1992","Harpercollins"
"Greenmantle","John Buchan","1992","Penguin USA"
"Martian Chronicles","Ray Bradbury","0","Bantam Doubleday Dell"
"Flatterland: Like Flatland, Only More So","Ian Stewart","2001","Perseus Publishing"
"The Invisible Man","H. G. Wells","1964","Airmont Pub Co"
"Alice\'s Tulips","Sandra Dallas","2000","St. Martin\'s Press"
"Horst der Held.","Matthias Praxenthaler","1999","Dtv"
"Privileged Information","Stephen White","1999","Pinnacle Books"
"The Words Under the Words: Selected Poems","Naomi Shihab Nye","1995","Eighth Mountain Press"
"Road to Gandolfo","Robert Ludlum","1982","Bantam Doubleday Dell"
"Climbing Mount Improbable","Richard Dawkins","1996","W. W. Norton &amp; Company"
"The World\'s Tackiest Postcards","Klutz Press","1987","Klutz Pr"
"Pulp Fiction","Quentin Tarantino","1995","Editions 10/18"
"Ragged Dick Or, Street Life in New York With the Boot-Blacks","Horatio, Jr. Alger","1990","Signet Classics"
"Artists in Crime","Ngaio Marsh","1994","Berkley Pub Group"
"North Country Man","Carrie Alexander","2002","Harlequin"
"Comes the Blind Fury","John Saul","1999","Sagebrush Bound"
"Lasst Knochen Sprechen","Kathy Reichs","2002","Distribooks"
"The Bookstore Mouse","Peggy Christian","1995","Jane Yolen Books"
"A Slender Thread","Tracie Peterson","2000","Bethany House Publishers"
"In the Year of the Boar and Jackie Robinson","Bette Lord","1984","Harper &amp; Row"
"The Wishsong of Shannara","Terry Brooks","1985","Ballantine Books"
"The Power of Positive Thinking","Norman Vincent Peale","1991","Fawcett Books"
"Blood Moon","Ed Gorman","1996","St Martins Pr (Mm)"
"A Different Kind of Christmas","Alex Haley","2000","Gramercy Books"
"The House on Hope Street","Danielle Steel","2001","Random House Large Print Publishing"
"Friendship Cake","J. Lynne Hinton","2001","Harpertorch"
"The Re-Enchantment of Everyday Life","Thomas Moore","1996","Harpercollins"
"Triggerfish Twist","Tim Dorsey","2003","HarperTorch"
"Uh-Oh","Robert Fulghum","1991","Random House Trade"
"The Dog Who Rescues Cats: The True Story of Ginny","Philip Gonzalez","1995","Harpercollins"
"Jamaica Inn","Daphne Du Maurier","1995","Avon"
